destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Texas,2019,28642658,24347958,3517954,559661,217085,Indiana,6244
Utah,2019,3162102,2661654,389057,95608,15783,Indiana,2256
Vermont,2019,617560,536752,57776,21212,1820,Indiana,99
Virginia,2019,8439982,7201805,903735,264855,69587,Indiana,2413
Washington,2019,7527366,6253469,977928,231956,64013,Indiana,2244
West Virginia,2019,1773280,1563611,164739,39548,5382,Indiana,178
Wisconsin,2019,5760481,5001140,634732,107973,16636,Indiana,1951
Wyoming,2019,572884,473128,68127,30247,1382,Indiana,616
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Indiana,106
Alabama,2021,4989797,4392571,468964,115641,12621,Indiana,3146
Alaska,2021,723949,625088,63611,31378,3872,Indiana,218
Arizona,2021,7202745,6144045,759450,264948,34302,Indiana,6093
Arkansas,2021,2990311,2595527,312848,76108,5828,Indiana,2041
California,2021,38833197,34461724,3749371,433402,188700,Indiana,3889
Colorado,2021,5757628,4794481,686892,250031,26224,Indiana,1793
Connecticut,2021,3571470,3168509,279328,106618,17015,Indiana,888
Delaware,2021,994669,889174,58180,42551,4764,Indiana,201
District of Columbia ,2021,661026,527167,68606,57746,7507,Indiana,159
Florida,2021,21590684,18571567,2206566,674740,137811,Indiana,17980
Georgia,2021,10688429,9243299,1107180,302512,35438,Indiana,3897
Hawaii,2021,1426298,1230761,110790,71626,13121,Indiana,1251
Idaho,2021,1879719,1601568,176458,96388,5305,Indiana,0
Illinois,2021,12544435,11095785,1200753,195177,52720,Indiana,18681
Indiana,2021,6729771,5835956,714384,156417,23014,Indiana,0
Iowa,2021,3159672,2725417,347372,77245,9638,Indiana,1149
Kansas,2021,2900594,2461533,323036,102319,13706,Indiana,1381
Kentucky,2021,4460646,3878219,463451,107693,11283,Indiana,11437
Louisiana,2021,4571302,3987402,483769,81944,18187,Indiana,282
Maine,2021,1360264,1203199,111418,43492,2155,Indiana,144
Maryland,2021,6099715,5387234,519574,160016,32891,Indiana,1971
Massachusetts,2021,6916314,6043959,663154,158311,50890,Indiana,1199
Michigan,2021,9950336,8827083,950370,143042,29841,Indiana,11998
Minnesota,2021,5645866,4930664,606582,93286,15334,Indiana,1252
Mississippi,2021,2919574,2608484,241171,59759,10160,Indiana,378
Missouri,2021,6102443,5282198,635797,165921,18527,Indiana,2986
Montana,2021,1093888,944443,100380,44531,4534,Indiana,167
Nebraska,2021,1939700,1677312,208977,43287,10124,Indiana,686
Nevada,2021,3111722,2661617,305571,132648,11886,Indiana,1058
New Hampshire,2021,1377638,1223839,97263,53245,3291,Indiana,158
New Jersey,2021,9174117,8199595,723937,195828,54757,Indiana,4098
New Mexico,2021,2092251,1828971,188495,68019,6766,Indiana,1508
New York,2021,19626300,17583476,1666707,287249,88868,Indiana,1334
North Carolina,2021,10446881,9034306,1032016,336681,43878,Indiana,3678
North Dakota,2021,764638,641023,83572,37844,2199,Indiana,152
Ohio,2021,11660200,10209047,1228277,184477,38399,Indiana,8028
Oklahoma,2021,3943443,3347420,475441,108288,12294,Indiana,674
Oregon,2021,4207387,3600937,458434,133935,14081,Indiana,801
Pennsylvania,2021,12842522,11452320,1078336,261831,50035,Indiana,2614
Rhode Island,2021,1085539,959140,77691,43266,5442,Indiana,677
South Carolina,2021,5142137,4444195,484535,196200,17207,Indiana,1667
South Dakota,2021,884616,759943,95407,27528,1738,Indiana,471
Tennessee,2021,6899165,5955858,701333,220591,21383,Indiana,6012
Texas,2021,29170380,25086829,3315313,591395,176843,Indiana,10573
Utah,2021,3295561,2817208,359628,101051,17674,Indiana,798
Vermont,2021,641007,564684,42454,31809,2060,Indiana,136
Virginia,2021,8557020,7384723,855269,272693,44335,Indiana,3159
Washington,2021,7657350,6474967,909338,225306,47739,Indiana,679
West Virginia,2021,1767792,1584041,137757,43801,2193,Indiana,468
Wisconsin,2021,5838954,5123397,578787,122742,14028,Indiana,1447
Wyoming,2021,573476,481018,63128,27281,2049,Indiana,32
Puerto Rico,2021,3248011,3040178,177594,27380,2859,Indiana,0
Alabama,2022,5022366,4397470,471530,139263,14103,Indiana,1693
Alaska,2022,724196,614091,68351,36563,5191,Indiana,296
Arizona,2022,7285247,6264863,690856,282729,46799,Indiana,3759
Arkansas,2022,3007872,2618120,294640,86375,8737,Indiana,1330
California,2022,38629179,34335186,3515077,475803,303113,Indiana,5422
Colorado,2022,5781381,4834425,682450,229876,34630,Indiana,2455
Connecticut,2022,3588965,3172833,245100,145315,25717,Indiana,674
Delaware,2022,1008173,899454,57963,46162,4594,Indiana,153
District of Columbia ,2022,660942,515345,68363,64506,12728,Indiana,253
Florida,2022,22043900,19029143,2008758,738969,267030,Indiana,11790
Georgia,2022,10791161,9348359,1054380,327795,60627,Indiana,4937
Hawaii,2022,1425611,1251057,106642,56209,11703,Indiana,229
Idaho,2022,1919357,1633120,189164,87949,9124,Indiana,6
Illinois,2022,12455441,11002931,1150055,228308,74147,Indiana,13792
Indiana,2022,6757160,5886762,691986,149331,29081,Indiana,0
Iowa,2022,3166734,2760076,323444,72231,10983,Indiana,402
Kansas,2022,2906619,2480630,320201,94208,11580,Indiana,2828
Kentucky,2022,4462146,3892713,439944,113197,16292,Indiana,12947
Louisiana,2022,4537185,4006126,435538,75330,20191,Indiana,266
Maine,2022,1372172,1230229,95823,41618,4502,Indiana,9
Maryland,2022,6100234,5395850,511449,139784,53151,Indiana,713
Massachusetts,2022,6918482,6065294,606626,171077,75485,Indiana,1616
Michigan,2022,9936710,8786959,949469,157955,42327,Indiana,9723
Minnesota,2022,5654602,4940488,571566,117016,25532,Indiana,3276
Mississippi,2022,2907327,2584891,238542,69948,13946,Indiana,872
Missouri,2022,6111432,5320580,609551,163254,18047,Indiana,3411
Montana,2022,1111641,964155,96436,48165,2885,Indiana,693
Nebraska,2022,1943359,1698838,184950,49159,10412,Indiana,147
Nevada,2022,3145500,2719228,284073,127406,14793,Indiana,1436
New Hampshire,2022,1384607,1243278,86815,49782,4732,Indiana,249
New Jersey,2022,9174261,8289128,630801,175023,79309,Indiana,2710
New Mexico,2022,2092565,1846474,164418,72095,9578,Indiana,0
New York,2022,19474187,17446663,1588018,301461,138045,Indiana,2426
North Carolina,2022,10588557,9242557,946048,341582,58370,Indiana,4829
North Dakota,2022,770498,648407,82522,34536,5033,Indiana,324
Ohio,2022,11631820,10218317,1161398,200809,51296,Indiana,12230
Oklahoma,2022,3974110,3396824,441285,117788,18213,Indiana,449
Oregon,2022,4201011,3590534,464369,128359,17749,Indiana,642
Pennsylvania,2022,12845436,11466446,1059216,262700,57074,Indiana,1498
Rhode Island,2022,1083984,967814,67254,40311,8605,Indiana,0
South Carolina,2022,5228328,4524995,461411,219707,22215,Indiana,3136
South Dakota,2022,898505,778044,85602,31300,3559,Indiana,29
Tennessee,2022,6976549,6069961,649312,225969,31307,Indiana,4067
Texas,2022,29671447,25416204,3349854,668338,237051,Indiana,10167
Utah,2022,3337151,2859230,367147,91341,19433,Indiana,111
Vermont,2022,641722,566069,45750,26151,3752,Indiana,219
Virginia,2022,8590803,7439966,821193,266970,62674,Indiana,4800
Washington,2022,7710339,6572952,831247,248355,57785,Indiana,1118
West Virginia,2022,1758432,1576119,136161,43493,2659,Indiana,1159
Wisconsin,2022,5835492,5119356,571451,120434,24251,Indiana,2299
Wyoming,2022,575705,487359,57696,28948,1702,Indiana,34
Puerto Rico,2022,3203439,3015876,156208,26989,4366,Indiana,0
Alabama,2017,4819343,4158224,535649,111803,13667,Iowa,627
Alaska,2017,730874,595804,98168,30199,6703,Iowa,1083
Arizona,2017,6935358,5717189,911120,261727,45322,Iowa,3423
Arkansas,2017,2968395,2509717,370309,79411,8958,Iowa,176
California,2017,39085984,34009331,4234770,523131,318752,Iowa,4163
Colorado,2017,5542282,4546729,734182,226933,34438,Iowa,3035
Connecticut,2017,3556297,3136666,311726,83325,24580,Iowa,0
Delaware,2017,952449,830905,78998,38532,4014,Iowa,0
District of Columbia ,2017,684810,554225,64013,56231,10341,Iowa,17
Florida,2017,20772371,17554348,2402381,566476,249166,Iowa,3466
Georgia,2017,10299497,8760762,1202587,278889,57259,Iowa,1079
Hawaii,2017,1410750,1231340,115683,46457,17270,Iowa,779
Idaho,2017,1694182,1405344,210310,71899,6629,Iowa,0
Illinois,2017,12659328,11026895,1365922,195092,71419,Iowa,8837
Indiana,2017,6591598,5633171,792487,142290,23650,Iowa,1825
Iowa,2017,3106880,2654666,362905,77072,12237,Iowa,0
Kansas,2017,2876925,2413141,366147,86154,11483,Iowa,2119
Kentucky,2017,4404279,3721100,563721,103985,15473,Iowa,558
Louisiana,2017,4629962,4030674,513676,72836,12776,Iowa,472
Maine,2017,1322591,1140136,144186,34252,4017,Iowa,0
Maryland,2017,5988007,5168350,605885,165654,48118,Iowa,383
Massachusetts,2017,6789798,5888011,677835,146299,77653,Iowa,332
Michigan,2017,9851330,8450559,1203536,148787,48448,Iowa,1968
Minnesota,2017,5510902,4728748,643272,115623,23259,Iowa,5870
Mississippi,2017,2946971,2553271,313673,73549,6478,Iowa,271
Missouri,2017,6039877,5108238,742205,164957,24477,Iowa,5678
Montana,2017,1039170,883342,116400,35456,3972,Iowa,257
Nebraska,2017,1894217,1586729,243792,52507,11189,Iowa,8825
Nevada,2017,2963456,2430163,383067,133074,17152,Iowa,340
New Hampshire,2017,1330742,1134244,137212,52893,6393,Iowa,67
New Jersey,2017,8910191,7968039,710807,152106,79239,Iowa,22
New Mexico,2017,2062628,1801560,193225,57255,10588,Iowa,484
New York,2017,19638923,17553033,1655152,285252,145486,Iowa,2050
North Carolina,2017,10158556,8649400,1139260,313834,56062,Iowa,978
North Dakota,2017,744641,609017,92436,37315,5873,Iowa,652
Ohio,2017,11520109,9822847,1452745,198929,45588,Iowa,1687
Oklahoma,2017,3875922,3216306,542724,101961,14931,Iowa,1301
Oregon,2017,4102048,3405784,520747,149513,26004,Iowa,549
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Iowa,592
Rhode Island,2017,1048549,922210,83440,36850,6049,Iowa,66
South Carolina,2017,4966211,4248517,531315,166573,19806,Iowa,154
South Dakota,2017,856726,723740,99781,26106,7099,Iowa,2479
Tennessee,2017,6642072,5675990,748912,191909,25261,Iowa,334
Texas,2017,27924632,23534387,3643333,524511,222401,Iowa,6086
Utah,2017,3056193,2532858,398606,99584,25145,Iowa,81
Vermont,2017,619089,536390,57588,21868,3243,Iowa,80
Virginia,2017,8372522,7089782,958267,250490,73983,Iowa,1535
Washington,2017,7318811,6016482,978057,260787,63485,Iowa,867
West Virginia,2017,1798306,1589833,165375,40007,3091,Iowa,182
Wisconsin,2017,5731549,4908638,687285,112519,23107,Iowa,3018
Wyoming,2017,573483,481231,71338,18511,2403,Iowa,511
Puerto Rico,2017,3313519,3101332,189034,20167,2986,Iowa,118
Alabama,2018,4832358,4173026,534914,109301,15117,Iowa,704
Alaska,2018,727164,608707,81229,32099,5129,Iowa,26
Arizona,2018,7090137,5887700,888452,273714,40271,Iowa,3049
Arkansas,2018,2975961,2539294,354774,73179,8714,Iowa,119
California,2018,39114889,34232867,4092388,501023,288611,Iowa,2461
Colorado,2018,5633029,4626834,728730,239153,38312,Iowa,2385
Connecticut,2018,3538203,3102312,320248,84718,30925,Iowa,86
Delaware,2018,958770,853523,67984,34451,2812,Iowa,205
District of Columbia ,2018,693798,568201,68603,47555,9439,Iowa,162
Florida,2018,21092877,17863603,2420485,587261,221528,Iowa,3538
Georgia,2018,10410462,8909803,1174523,274273,51863,Iowa,1995
Hawaii,2018,1403653,1211015,125172,54074,13392,Iowa,586
Idaho,2018,1734756,1438727,209540,79765,6724,Iowa,178
Illinois,2018,12599244,11029483,1295596,206620,67545,Iowa,7727
Indiana,2018,6612948,5614432,821113,145256,32147,Iowa,311
Iowa,2018,3119306,2662849,371285,74199,10973,Iowa,0
Kansas,2018,2874208,2392841,371025,95748,14594,Iowa,3704
Kentucky,2018,4414714,3744188,547535,110456,12535,Iowa,265
Louisiana,2018,4603081,4033845,474843,81355,13038,Iowa,100
Maine,2018,1324095,1143612,142453,34706,3324,Iowa,0
Maryland,2018,5974521,5133916,630955,163216,46434,Iowa,322
Massachusetts,2018,6834364,5970065,653940,144042,66317,Iowa,79
Michigan,2018,9891083,8562101,1144840,139276,44866,Iowa,506
Minnesota,2018,5543490,4781432,635928,100270,25860,Iowa,4626
Mississippi,2018,2955717,2582347,297788,68000,7582,Iowa,70
Missouri,2018,6053109,5161553,720626,152326,18604,Iowa,4904
Montana,2018,1051757,891554,113693,43375,3135,Iowa,142
Nebraska,2018,1905843,1602056,239853,54579,9355,Iowa,6072
Nevada,2018,3003761,2495398,366629,127362,14372,Iowa,508
New Hampshire,2018,1344750,1170412,119936,48367,6035,Iowa,14
New Jersey,2018,8815804,7870909,722620,159846,62429,Iowa,163
New Mexico,2018,2072546,1797834,204099,60068,10545,Iowa,434
New York,2018,19329704,17327068,1614505,254447,133684,Iowa,2352
North Carolina,2018,10274540,8723401,1178884,318681,53574,Iowa,1976
North Dakota,2018,749825,623183,89228,33735,3679,Iowa,166
Ohio,2018,11555163,9892715,1426959,198026,37463,Iowa,2395
Oklahoma,2018,3895983,3226343,548493,106943,14204,Iowa,603
Oregon,2018,4152756,3438653,554097,140627,19379,Iowa,139
Pennsylvania,2018,12674699,11119060,1239854,253520,62265,Iowa,365
Rhode Island,2018,1047975,928114,78525,32841,8495,Iowa,0
South Carolina,2018,5029034,4309043,511153,186505,22333,Iowa,1036
South Dakota,2018,871271,740970,100177,26775,3349,Iowa,3275
Tennessee,2018,6692936,5706212,748791,209377,28556,Iowa,588
Texas,2018,28333482,23992374,3575604,563945,201559,Iowa,6379
Utah,2018,3114717,2583764,408033,100824,22096,Iowa,754
Vermont,2018,621681,542177,50818,26306,2380,Iowa,53
Virginia,2018,8424340,7142767,947475,274003,60095,Iowa,1388
Washington,2018,7453439,6101533,1028654,260906,62346,Iowa,647
West Virginia,2018,1787630,1585832,156420,43841,1537,Iowa,0
Wisconsin,2018,5751525,4960260,659159,114613,17493,Iowa,3072
Wyoming,2018,570867,479561,62957,25734,2615,Iowa,30
Puerto Rico,2018,3173956,2915696,234174,20900,3186,Iowa,0
Alabama,2019,4849509,4197698,534842,104780,12189,Iowa,722
Alaska,2019,722063,609362,74375,34031,4295,Iowa,143
Arizona,2019,7200620,6038776,861935,253295,46614,Iowa,2982
Arkansas,2019,2989054,2559444,361762,59723,8125,Iowa,674
California,2019,39084048,34394220,3943139,480204,266485,Iowa,1956
Colorado,2019,5701658,4695821,736314,240600,28923,Iowa,2589
Connecticut,2019,3531986,3106754,306070,90044,29118,Iowa,165
Delaware,2019,964817,843383,79186,38014,4234,Iowa,0
District of Columbia ,2019,697556,563798,64893,58879,9986,Iowa,59
Florida,2019,21269409,18083185,2381208,601611,203405,Iowa,3669
Georgia,2019,10499808,9034705,1130068,284541,50494,Iowa,1566
Hawaii,2019,1396819,1215974,116566,49708,14571,Iowa,0
Idaho,2019,1764327,1478739,200377,78730,6481,Iowa,14
Illinois,2019,12536539,11014059,1274091,190627,57762,Iowa,10294
Indiana,2019,6656971,5735703,743092,151443,26733,Iowa,1744
Iowa,2019,3121385,2686528,348082,72651,14124,Iowa,0
Kansas,2019,2879518,2426897,345003,94648,12970,Iowa,1010
Kentucky,2019,4421512,3792437,517128,100057,11890,Iowa,1573
Louisiana,2019,4595111,4018892,491341,67640,17238,Iowa,330
Maine,2019,1331656,1162558,128105,36129,4864,Iowa,183
Maryland,2019,5979602,5224363,569388,141766,44085,Iowa,130
Massachusetts,2019,6828110,5975607,644535,144079,63889,Iowa,390
Michigan,2019,9880758,8606216,1104190,132008,38344,Iowa,600
Minnesota,2019,5575235,4836702,606228,106920,25385,Iowa,5739
Mississippi,2019,2943737,2583691,291479,61683,6884,Iowa,246
Missouri,2019,6069697,5200465,694303,152345,22584,Iowa,5774
Montana,2019,1056994,882156,129779,40862,4197,Iowa,350
Nebraska,2019,1910711,1622237,234322,46064,8088,Iowa,6952
Nevada,2019,3048602,2510591,384676,132950,20385,Iowa,1706
New Hampshire,2019,1350155,1173997,119189,50288,6681,Iowa,56
New Jersey,2019,8791672,7888800,689445,149260,64167,Iowa,61
New Mexico,2019,2073628,1816418,189705,55545,11960,Iowa,4
New York,2019,19240920,17213380,1638372,254806,134362,Iowa,1554
North Carolina,2019,10371906,8834381,1170200,315215,52110,Iowa,1227
North Dakota,2019,750501,615450,94413,36668,3970,Iowa,652
Ohio,2019,11556037,9891733,1415185,205542,43577,Iowa,1005
Oklahoma,2019,3907258,3282746,509137,101844,13531,Iowa,551
Oregon,2019,4178578,3527178,501680,129921,19799,Iowa,802
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Iowa,278
Rhode Island,2019,1050602,930406,80686,34984,4526,Iowa,413
South Carolina,2019,5092727,4414770,478892,176008,23057,Iowa,871
South Dakota,2019,872708,739009,102133,26934,4632,Iowa,3613
Tennessee,2019,6754461,5782145,755183,196765,20368,Iowa,857
Texas,2019,28642658,24347958,3517954,559661,217085,Iowa,3306
Utah,2019,3162102,2661654,389057,95608,15783,Iowa,929
Vermont,2019,617560,536752,57776,21212,1820,Iowa,56
Virginia,2019,8439982,7201805,903735,264855,69587,Iowa,1827
Washington,2019,7527366,6253469,977928,231956,64013,Iowa,644
West Virginia,2019,1773280,1563611,164739,39548,5382,Iowa,119
Wisconsin,2019,5760481,5001140,634732,107973,16636,Iowa,4289
Wyoming,2019,572884,473128,68127,30247,1382,Iowa,23
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Iowa,0
Alabama,2021,4989797,4392571,468964,115641,12621,Iowa,444
Alaska,2021,723949,625088,63611,31378,3872,Iowa,0
Arizona,2021,7202745,6144045,759450,264948,34302,Iowa,2399
Arkansas,2021,2990311,2595527,312848,76108,5828,Iowa,1033
California,2021,38833197,34461724,3749371,433402,188700,Iowa,3435
Colorado,2021,5757628,4794481,686892,250031,26224,Iowa,1136
Connecticut,2021,3571470,3168509,279328,106618,17015,Iowa,490
Delaware,2021,994669,889174,58180,42551,4764,Iowa,0
District of Columbia ,2021,661026,527167,68606,57746,7507,Iowa,145
Florida,2021,21590684,18571567,2206566,674740,137811,Iowa,3735
Georgia,2021,10688429,9243299,1107180,302512,35438,Iowa,1619
Hawaii,2021,1426298,1230761,110790,71626,13121,Iowa,0
Idaho,2021,1879719,1601568,176458,96388,5305,Iowa,428
Illinois,2021,12544435,11095785,1200753,195177,52720,Iowa,9580
Indiana,2021,6729771,5835956,714384,156417,23014,Iowa,271
Iowa,2021,3159672,2725417,347372,77245,9638,Iowa,0
Kansas,2021,2900594,2461533,323036,102319,13706,Iowa,1637
Kentucky,2021,4460646,3878219,463451,107693,11283,Iowa,756
Louisiana,2021,4571302,3987402,483769,81944,18187,Iowa,730
Maine,2021,1360264,1203199,111418,43492,2155,Iowa,376
Maryland,2021,6099715,5387234,519574,160016,32891,Iowa,21
Massachusetts,2021,6916314,6043959,663154,158311,50890,Iowa,715
Michigan,2021,9950336,8827083,950370,143042,29841,Iowa,1011
Minnesota,2021,5645866,4930664,606582,93286,15334,Iowa,5523
Mississippi,2021,2919574,2608484,241171,59759,10160,Iowa,110
Missouri,2021,6102443,5282198,635797,165921,18527,Iowa,5661
Montana,2021,1093888,944443,100380,44531,4534,Iowa,20
Nebraska,2021,1939700,1677312,208977,43287,10124,Iowa,6235
Nevada,2021,3111722,2661617,305571,132648,11886,Iowa,1574
New Hampshire,2021,1377638,1223839,97263,53245,3291,Iowa,96
New Jersey,2021,9174117,8199595,723937,195828,54757,Iowa,90
New Mexico,2021,2092251,1828971,188495,68019,6766,Iowa,0
New York,2021,19626300,17583476,1666707,287249,88868,Iowa,1552
North Carolina,2021,10446881,9034306,1032016,336681,43878,Iowa,1260
